shelf_no,product_id
2.0,p4833
1.0,p7122
3.0,p5649
4.0,p9129
5.0,p8909
1.0,p3438
2.0,p6086
3.0,p2722
4.0,p5083
5.0,p9134
1.0,p7907
2.0,p4825
3.0,p2164
4.0,p2307
5.0,p1349
1.0,p2039
2.0,p1694
3.0,p4360
4.0,p4589
5.0,p5072
2.0,p9018
3.0,p3379
4.0,p4261
5.0,p1419
1.0,p3523
2.0,p9801
3.0,p3232
4.0,p7196
5.0,p3061
2.0,p7448
3.0,p7897
4.0,p8120
5.0,p9236
2.0,p4027
3.0,p2044
4.0,p2233
5.0,p1592
2.0,p7611
3.0,p5133
4.0,p6114
5.0,p3315
2.0,p6763
3.0,p8766
4.0,p3866
5.0,p7880
2.0,p2498
3.0,p6863
4.0,p3474
5.0,p5876
3.0,p9190
4.0,p1464
5.0,p8346
4.0,p1627
5.0,p2212
4.0,p4924
5.0,p3405
4.0,p5371
5.0,p5810
4.0,p6074
5.0,p4980
4.0,p5224
5.0,p5293
2.0,p3712
